Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Stroia Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Southgate,Michigan,48195,2,4,2026-04-22,85,Unknown
Wardell Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Garden City,Michigan,48135,2,2,2026-03-23,115,Unknown
Zapor Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Brighton,Michigan,48116,2,2,2026-04-14,93,Unknown
Blue Water Pain Specialists - St Clair Shores,Pain Management,T1,Coty,Other/Metro,St. Clair Shores,Michigan,48081,2,8,2026-02-20,146,Unknown
Bone & Joint Surgery Center of Novi,Pain Management,T1,Coty,Livonia,Novi,Michigan,48374,2,0,2026-06-22,24,Unknown
COVENANT COMMUNITY CARE - Westland,Pain Management,T1,Coty,Livonia,Westland,Michigan,48185,2,0,2026-05-29,48,Unknown
Eastside Neurosurgery - Macomb,Neurosurgery,T1,Coty,Sterling Heights,Macomb,Michigan,48044,2,6,2026-04-15,92,Unknown
McLaren Macomb Neurology,Neurology,T1,Coty,Sterling Heights,Clinton Township,Michigan,48036,2,2,2026-03-26,112,Unknown
McLaren Macomb Primary Care,Pain Management,T1,Coty,Sterling Heights,Macomb,MI,48044,2,12,2026-07-10,6,Unknown
Michigan Institute for Neurological Disorders (MIND) - Farmington Hills,Pain Management,T1,Coty,Livonia,Farmington,Michigan,483342977,2,4,2026-05-28,49,Unknown
Mohan Neurosurgical CLOSED,Neurosurgery,T1,Coty,Troy,Troy,Michigan,48084,2,2,2026-03-24,114,Unknown
Neuro Pain Consultants - Macomb,Pain Management,T1,Coty,Sterling Heights,Macomb,Michigan,48044,2,2,2026-06-26,20,Unknown
Neuro Pain Consultants - Sterling Heights,Pain Management,T1,Coty,Sterling Heights,Sterling Heights,Michigan,48313,2,0,2026-06-26,20,Unknown
Primary Care Services -Westland,Pain Management,T1,Coty,Livonia,Westland,Michigan,48185,2,4,2026-05-29,48,Unknown
Advanced Health Chiropractic,Chiropractic,T1,Sean,Troy,Rochester Hills,Michigan,48307,2,4,2026-06-09,37,Unknown
Complete Spine and Joint Center,Chiropractic,T1,Sean,Southfield,Royal Oak,Michigan,48067,2,2,2026-05-18,59,Unknown
David S Weingarden MD & Associates,Pain Management,T1,Sean,Sterling Heights,Clinton Township,Michigan,48038,2,17,2026-03-26,112,Unknown
Embrace Life Chiropractic,Chiropractic,T1,Sean,Troy,Rochester Hills,Michigan,48309,2,2,2026-05-22,55,Unknown
Enhance Center - Clinton Township,Pain Management,T1,Sean,Sterling Heights,Clinton Township,Michigan,48038,2,14,2026-04-21,86,Unknown
Evolve Chiropractic,Chiropractic,T1,Sean,Sterling Heights,Clinton Township,Michigan,48035,2,3,2026-05-12,65,Unknown
Macomb Township Chiropractic,Chiropractic,T1,Sean,Sterling Heights,Macomb,MI,480441954,2,2,2026-05-26,51,Unknown
Michigan Advanced Pain & Spine,Spine,T1,Sean,Sterling Heights,Warren,Michigan,48088,2,6,2026-03-24,114,Unknown
Nu Life Medical - Shelby Township,Pain Management,T1,Sean,Other/Metro,Shelby Township,Michigan,48317,2,18,2026-04-23,84,Unknown
Office of Peter Samet MD,PM&R,T1,Sean,Southfield,Ferndale,MI,48220,2,2,2026-04-22,85,Unknown
Omni Medical Center,Pain Management,T1,Sean,Sterling Heights,Sterling Heights,Michigan,48312,2,2,2026-03-18,120,Unknown
Peer Chiropractic,Chiropractic,T1,Sean,Troy,Rochester,MI,483075160,2,2,2026-06-09,37,Unknown
Poirer Chiropractic,Chiropractic,T1,Sean,Other/Metro,Shelby Township,Michigan,48315,2,2,2026-05-26,51,Unknown
Sheldon Chiropractic & Wellness,Chiropractic,T1,Sean,Troy,Auburn Hills,Michigan,48326,2,4,2026-06-08,38,Unknown
Spinal Solutions Chiropractic & Wellness Center,Chiropractic,T1,Sean,Other/Metro,Shelby Township,Michigan,48316,2,4,2026-02-25,141,Unknown
Suburban Chiropractic,Chiropractic,T1,Sean,Other/Metro,St. Clair Shores,Michigan,48080,2,6,2026-04-27,80,Unknown
Thumb Coast Chiropractic,Chiropractic,T1,Kristen,Port Huron,Port Huron,Michigan,48060,1,3,2026-06-16,30,Unknown
Caudell Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,1,2,2026-02-26,140,Unknown
Cromwell family chiropractic,Chiropractic,T1,Jasmine,Livonia,Farmington,Michigan,48336,1,4,2026-03-30,108,Unknown
MICHIGAN INTERVENTIONAL PAIN CENTER (this is an ASC),Pain Management,T1,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,1,5,2026-01-26,171,Unknown
Michigan Spine & Brain Surgeons,Pain Management,T1,Jasmine,Southfield,Southfield,Michigan,48075,1,1,2026-07-09,7,Unknown
"Naaman MD, Saad",PM&R,T1,Jasmine,Southfield,Southfield,MI,48034,1,0,2026-07-01,15,Unknown
