Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Eastside Podiatry,36-154-3205,,,Podaitry,Ortho Referrer,Deterministically matched,Exact provider name,"Burhani DPM, Hatim",1,0,1,0,1,2026-05-07 00:00:00,2026-05-07 00:00:00,,2026-04-27 00:00:00,10,10,1,0,0,0,0,37,2026-07-10 00:00:00
Elite Family Medicine,3b700a13-2f3b-4e83-bd1f-61bd1cca19e6,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Hasso MD, Maha",1,0,1,0,1,2026-03-16 00:00:00,2026-03-16 00:00:00,,2026-01-28 00:00:00,47,47,0,1,0,0,0,37,2026-07-10 00:00:00
Epic Health - St Clair Shores,8c04fb31-3380-488f-aa8a-954ff32146f2,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Barnett DO, Ronald",1,0,1,0,1,2026-05-26 00:00:00,2026-05-26 00:00:00,,2026-05-06 00:00:00,20,20,1,0,0,0,0,37,2026-07-10 00:00:00
Family Care Physicians PC,9d72636b-2e2d-4e54-b69a-aab72e18f8a9,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Sack DO, Marshall B",1,0,1,0,1,2026-04-28 00:00:00,2026-04-28 00:00:00,,2026-04-01 00:00:00,27,27,1,0,0,0,0,37,2026-07-10 00:00:00
Get Well Urgent Care - Warren,8ae19fc3-b1ab-4f35-ab71-b73d93833918,Sean,Sean Sweeney,Urgent care,Ortho Referrer,Deterministically matched,Exact company name,Get Well Urgent Care Warren,1,0,1,0,1,2026-05-01 00:00:00,2026-05-01 00:00:00,,2026-04-24 00:00:00,7,7,1,0,0,0,0,37,2026-07-10 00:00:00
"GREAT LAKE PHYSICIANS, PC",5eb36bb9-fcd1-4d12-be8d-6cc4527f5a13,Coty,Coty Oetjens,Spine,Ortho Referrer,Deterministically matched,Exact provider name,"Desai MD, Jayshree",1,0,1,0,1,2026-06-10 00:00:00,2026-06-10 00:00:00,,2026-03-13 00:00:00,89,89,0,0,1,0,0,37,2026-07-10 00:00:00
GROSSE POINTE PARK INTERNAL MEDICINE CENTER,4182fa5f-6d87-4037-9102-1014f5d60056,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Francis DO, Michael",1,0,1,0,1,2026-06-02 00:00:00,2026-06-02 00:00:00,,2026-04-28 00:00:00,35,35,0,1,0,0,0,37,2026-07-10 00:00:00
Health Care Medical Center,522bb9a7-68be-41af-9408-b29b136875e0,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Kohli MD, Vinod",1,0,1,0,1,2026-06-03 00:00:00,2026-06-03 00:00:00,,2026-04-29 00:00:00,35,35,0,1,0,0,0,37,2026-07-10 00:00:00
Henry Ford Internists - Farmington Hills 150,85ababc7-e294-4225-8cc7-28b8a5b1b9e2,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Goldman DO, Seth A",1,0,1,0,1,2026-05-04 00:00:00,2026-05-04 00:00:00,,2026-02-16 00:00:00,77,77,0,0,1,0,0,37,2026-07-10 00:00:00
Henry Ford Macomb Health Center - Fraser,1902134794,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Packey DO, Nicholas S",1,0,1,0,1,2026-05-05 00:00:00,2026-05-05 00:00:00,,2026-03-26 00:00:00,40,40,0,1,0,0,0,37,2026-07-10 00:00:00
Hope Medical Center,58979922-388f-454f-97f0-c730f11f6434,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Lewis MD, Raja",1,0,1,0,1,2026-02-12 00:00:00,2026-02-12 00:00:00,,2026-02-12 00:00:00,0,0,1,0,0,0,0,37,2026-07-10 00:00:00
Horizon Care Medical Group - Warren,476bc8e4-84c4-4063-97a9-b649ed44dddf,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Spearman MD, Anthony",1,0,1,0,1,2026-03-11 00:00:00,2026-03-11 00:00:00,,2026-02-26 00:00:00,13,13,1,0,0,0,0,37,2026-07-10 00:00:00
IPHCA,74b8c0cb-3736-44a0-9158-3b8106c9c58f,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Syed MD, Suzan",1,0,1,0,1,2026-04-02 00:00:00,2026-04-02 00:00:00,,2026-03-03 00:00:00,30,30,1,0,0,0,0,37,2026-07-10 00:00:00
John R Medical Clinic,1720079437,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Gennaoui MD, Habib G",1,0,1,0,1,2026-06-25 00:00:00,2026-06-25 00:00:00,,2026-06-24 00:00:00,1,1,1,0,0,0,0,37,2026-07-10 00:00:00
Kids First Pediatrics,1235164872,Kristen,Kristen Jones,,Ortho Referrer,Deterministically matched,Exact provider name,"Hatta MD, Ami",1,0,1,0,1,2026-01-06 00:00:00,2026-01-06 00:00:00,,2025-12-10 00:00:00,27,27,1,0,0,0,0,37,2026-07-10 00:00:00
Lake Huron Medical Center - Fort Gratiot,b4513fe8-6a5e-436a-8c89-648ea99ad482,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Faruque DO, Rubaiya",1,0,1,0,1,2026-01-08 00:00:00,2026-01-08 00:00:00,,2025-11-06 00:00:00,63,63,0,0,1,0,0,37,2026-07-10 00:00:00
Limitless Physical Therapy and Performance,b674ee01-88b6-42e2-8d45-e1de4891ab56,Kristen,Kristen Jones,Physical Therapy,Ortho Referrer,Deterministically matched,Exact provider name,"King DPT, Seth",1,0,1,0,1,2026-06-16 00:00:00,2026-06-16 00:00:00,,2026-06-10 00:00:00,6,6,1,0,0,0,0,37,2026-07-10 00:00:00
Mark Sisson Law,b1d08ae6-47db-4f5e-ae59-860765486ca0,Kristen,Kristen Jones,Attorney,Ortho Referrer,Deterministically matched,Exact company name,Mark Sisson Law,1,0,1,0,1,2026-04-20 00:00:00,2026-04-20 00:00:00,,2026-03-06 00:00:00,45,45,0,1,0,0,0,37,2026-07-10 00:00:00
Masonic Medical Center - Ascension,e73f759b-87dc-444f-a504-b954ddeeace1,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"WILSON MD, JEANETTE  ELIZABETH",1,0,1,0,1,2026-05-15 00:00:00,2026-05-15 00:00:00,,2026-03-27 00:00:00,49,49,0,1,0,0,0,37,2026-07-10 00:00:00
McLaren Port Huron Fort Gratiot Internal Medicine,292b69e3-3f35-422f-a60b-87c0ddf678d1,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Whateley MD, Jason",1,0,1,0,1,2026-06-22 00:00:00,2026-06-22 00:00:00,,2026-05-05 00:00:00,48,48,0,1,0,0,0,37,2026-07-10 00:00:00
Meadowbrook Internists,302019e4-0b7f-4f55-bdca-192920804d63,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Stephan MD, Namir",1,0,1,0,1,2026-01-29 00:00:00,2026-01-29 00:00:00,,2025-10-10 00:00:00,111,111,0,0,0,1,0,37,2026-07-10 00:00:00
"MEDICAL GROUP PRACTICE, PC (Olympia health)",931a0b27-6417-43b6-a15a-c3eac7f8203a,Jasmine,Jasmine Jones,Jasmine's unrelated;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Penn DO, William Paul",1,0,1,0,1,2026-04-13 00:00:00,2026-04-13 00:00:00,,2026-03-03 00:00:00,41,41,0,1,0,0,0,37,2026-07-10 00:00:00
METROPOLITAN MEDICAL ASSOCIATES,297c1d83-ce5b-4ce5-b393-97b656f9b2c7,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Trivedi MD, Archi",1,0,1,0,1,2026-06-03 00:00:00,2026-06-03 00:00:00,,2026-04-30 00:00:00,34,34,0,1,0,0,0,37,2026-07-10 00:00:00
MHP Internal Medicine,1699828632,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Langnas DO, Gary",1,0,1,0,1,2026-05-27 00:00:00,2026-05-27 00:00:00,,2026-03-27 00:00:00,61,61,0,0,1,0,0,37,2026-07-10 00:00:00
MI Express Urgent Care,fc1455cf-74a6-4b97-b05f-e677351745de,Jasmine,Jasmine Jones,Urgent care;Ortho;Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,MI Express Urgent Care,1,0,1,0,1,2026-07-06 00:00:00,2026-07-06 00:00:00,,2026-06-11 00:00:00,25,25,1,0,0,0,0,37,2026-07-10 00:00:00
Michigan Primary Care - Eastpointe,4328f444-1a86-4fbb-9849-e8a159cce3e2,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Miller NP, Colleen",1,0,1,0,1,2026-06-04 00:00:00,2026-06-04 00:00:00,,2026-05-12 00:00:00,23,23,1,0,0,0,0,37,2026-07-10 00:00:00
Michigan Urgent Care - Livonia,1d453948-16d6-4da0-a7d9-80b603bedb9b,Jasmine,Jasmine Jones,Urgent care;Ortho;Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,Michigan Urgent Care - Livonia,1,0,1,0,1,2026-01-12 00:00:00,2026-01-12 00:00:00,,2025-12-15 00:00:00,28,28,1,0,0,0,0,37,2026-07-10 00:00:00
Midwest Center for Dermatology - Warren,1205831005,Coty,Coty Oetjens,Dermatology,Ortho Referrer,Deterministically matched,Unique provider first + last,"Altman, David A",1,0,1,0,1,2026-05-15 00:00:00,2026-05-15 00:00:00,,2023-08-04 00:00:00,1015,1015,0,0,0,1,0,37,2026-07-10 00:00:00
Millenium Associated Physicians - 130A,1972588259,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Feldman MD, Barry",1,0,1,0,1,2026-05-07 00:00:00,2026-05-07 00:00:00,,2026-02-16 00:00:00,80,80,0,0,1,0,0,37,2026-07-10 00:00:00
MyCare Health Center - Mt Clemens,1427049683,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Allor FNP-C, Christine M",1,0,1,0,1,2026-04-27 00:00:00,2026-04-27 00:00:00,,2026-02-02 00:00:00,84,84,0,0,1,0,0,37,2026-07-10 00:00:00
Neil King Physical Therapy,01-484-0595,Kristen,Kristen Jones,Physical Therapy,Ortho Referrer,Deterministically matched,Exact provider name,"Tomei DPT, Jordan",1,0,1,0,1,2026-04-13 00:00:00,2026-04-13 00:00:00,,2026-03-26 00:00:00,18,18,1,0,0,0,0,37,2026-07-10 00:00:00
NICOLOFF HOLISTIC FAMILY MEDICINE,c53a52e1-de9e-438f-87b9-f80c5bf3c183,Kristen,Kristen Jones,Hollistic Medicine;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Nicoloff MD, George",1,0,1,0,1,2026-05-29 00:00:00,2026-05-29 00:00:00,,2026-04-24 00:00:00,35,35,0,1,0,0,0,37,2026-07-10 00:00:00
Normandy Family Practice,1265482095,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Kurzawa MD, Mark R",1,0,1,0,1,2026-04-01 00:00:00,2026-04-01 00:00:00,,2026-03-19 00:00:00,13,13,1,0,0,0,0,37,2026-07-10 00:00:00
Oakland Integrated Healthcare Network,81f49d59-3845-4c1e-8a21-7b2a067375e5,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Shareefuddin MD, Faisal M",1,0,1,0,1,2026-06-08 00:00:00,2026-06-08 00:00:00,,2026-05-12 00:00:00,27,27,1,0,0,0,0,37,2026-07-10 00:00:00
Office of David Mandy DO,da57adc9-a2cf-4705-886d-76146cbbde06,Sean,Sean Sweeney,Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"MANDY, DAVID",1,0,1,0,1,2026-01-06 00:00:00,2026-01-06 00:00:00,,2025-11-05 00:00:00,62,62,0,0,1,0,0,37,2026-07-10 00:00:00
Office of Jeff The DO,1710940242,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"The DO, Jeff Y",2,0,1,0,1,2026-03-19 00:00:00,2026-03-19 00:00:00,,2026-02-19 00:00:00,28,28,1,0,0,0,0,37,2026-07-10 00:00:00
Pavilion Family Practice - use this one,81d28e80-f8a8-4a1f-a027-35e8a21e8366,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Uroda MD, Lauren",1,0,1,0,1,2026-06-22 00:00:00,2026-06-22 00:00:00,,2026-05-28 00:00:00,25,25,1,0,0,0,0,37,2026-07-10 00:00:00
PEDIATRIC AND ADOLESCENT CENTER,31fe13d8-1060-4c98-bf75-61f09e803121,Jasmine,Jasmine Jones,Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"Nayak  MD, Dinesh",1,0,1,0,1,2026-02-09 00:00:00,2026-02-09 00:00:00,,2025-11-03 00:00:00,98,98,0,0,0,1,0,37,2026-07-10 00:00:00
Physician HeathCare Network - Marysville,f6ae01d5-e2aa-485f-93b1-7586e5fdcd26,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Colombo MD, John D",1,0,1,0,1,2026-04-08 00:00:00,2026-04-08 00:00:00,,2026-02-26 00:00:00,41,41,0,1,0,0,0,37,2026-07-10 00:00:00
Physicians in Family Medicine,1932288693,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Pirzada DO, Pamela",1,0,1,0,1,2026-06-09 00:00:00,2026-06-09 00:00:00,,2026-06-05 00:00:00,4,4,1,0,0,0,0,37,2026-07-10 00:00:00
Plumbrook Medical Center,1013009901,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Neumann DO, Fredric",1,0,1,0,1,2026-02-02 00:00:00,2026-02-02 00:00:00,,2026-01-20 00:00:00,13,13,1,0,0,0,0,37,2026-07-10 00:00:00
Plymouth Urgent Care,ea50a287-34fb-4325-8a2e-5ba156145624,Kristen,Kristen Jones,Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,Plymouth Urgent Care,1,0,1,0,1,2026-05-08 00:00:00,2026-05-08 00:00:00,,2026-03-23 00:00:00,46,46,0,1,0,0,0,37,2026-07-10 00:00:00
Precise Chiropractic,7949ef7e-580c-41cc-b7ee-5a5d6dadc605,Coty,Coty Oetjens,Chiropractor,Ortho Referrer,Deterministically matched,Exact provider name,"Hanselman, Michael",1,0,1,0,1,2026-06-29 00:00:00,2026-06-29 00:00:00,,2026-04-28 00:00:00,62,62,0,0,1,0,0,37,2026-07-10 00:00:00
Premier Family Physicians,1700883345,Coty,Coty Oetjens,PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Namei MD, Farzin Reza",1,0,1,0,1,2026-06-17 00:00:00,2026-06-17 00:00:00,,2026-04-27 00:00:00,51,51,0,1,0,0,0,37,2026-07-10 00:00:00
Primecare of Novi,08777e8a-5ca0-4abd-8ad4-d8f4fbbacc9c,Jasmine,Jasmine Jones,Pain;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Berman NP, Hannah R",1,0,1,0,1,2026-02-09 00:00:00,2026-02-09 00:00:00,,2025-12-29 00:00:00,42,42,0,1,0,0,0,37,2026-07-10 00:00:00
Prism Medical Group - Internal Medicine,2e8aa328-e0cf-478e-8b39-00f6628c15ac,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"HACHIGIAN MD, TODD",1,0,1,0,1,2026-03-26 00:00:00,2026-03-26 00:00:00,,2026-02-23 00:00:00,31,31,0,1,0,0,0,37,2026-07-10 00:00:00
PROVIDENCE PARK LIVONIA FAMILY MEDICINE,10a3ca46-32f2-472e-99d9-39f7c9e3bde3,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Karle MD, David E",1,0,1,0,1,2026-04-28 00:00:00,2026-04-28 00:00:00,,2026-03-30 00:00:00,29,29,1,0,0,0,0,37,2026-07-10 00:00:00
Purdy Chiropractic Center,e07e12c2-6f7f-48ec-bcea-556f883be0ea,Kristen,Kristen Jones,Chiropractor,Ortho Referrer,Deterministically matched,Exact provider name,"Purdy- Cantu DC, Nicole",1,0,1,0,1,2026-03-03 00:00:00,2026-03-03 00:00:00,,2026-03-02 00:00:00,1,1,1,0,0,0,0,37,2026-07-10 00:00:00
Saurabh Gupta MD,1912926510,Coty,Coty Oetjens,Geriatrics,Ortho Referrer,Deterministically matched,Exact provider name,"Gupta MD, Saurabh",1,0,1,0,1,2026-07-06 00:00:00,2026-07-06 00:00:00,,2025-05-16 00:00:00,416,416,0,0,0,1,0,37,2026-07-10 00:00:00
Schaefer Medical,a5a464ab-73df-48e0-8f49-b80f6b89fc6b,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Ghani MD, Nesrene",1,0,1,0,1,2026-04-17 00:00:00,2026-04-17 00:00:00,,2026-01-22 00:00:00,85,85,0,0,1,0,0,37,2026-07-10 00:00:00
Shores Internal Medicine,1154434975,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Datla MD, Sailaja",1,0,1,0,1,2026-06-24 00:00:00,2026-06-24 00:00:00,,2026-04-27 00:00:00,58,58,0,1,0,0,0,37,2026-07-10 00:00:00
South Lyon Family Docs,573750f7-b7bd-4246-b7ac-f1217823639f,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Eberhardt DO, Brandy",1,0,1,0,1,2026-05-20 00:00:00,2026-05-20 00:00:00,,2026-03-04 00:00:00,77,77,0,0,1,0,0,37,2026-07-10 00:00:00
Springfield Urgent Care - Hamburg,0da678d4-9648-4315-8770-fb6768c5c2ea,Coty,Coty Oetjens,Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,Springfield Urgent Care - Hamburg,1,0,1,0,1,2026-01-30 00:00:00,2026-01-30 00:00:00,,2024-02-12 00:00:00,718,718,0,0,0,1,0,37,2026-07-10 00:00:00
Sterling Medical Center & Urgent Care,f30f611c-772a-406a-9d92-231790b785c2,Sean,Sean Sweeney,Urgent care,Ortho Referrer,Deterministically matched,Unique provider first + last,"Bazzy, Mohammed Nader",1,0,1,0,1,2026-04-20 00:00:00,2026-04-20 00:00:00,,2026-02-06 00:00:00,73,73,0,0,1,0,0,37,2026-07-10 00:00:00
Team Rehab - SMA Bloomfield Hills,6185c99b-b972-4582-aac1-b784f9730bb5,Kristen,Kristen Jones,Physical Therapy,Ortho Referrer,Deterministically matched,Exact provider name,"DiPace DPT, Lorenzo",1,0,1,0,1,2026-02-06 00:00:00,2026-02-06 00:00:00,,,,,0,0,0,0,1,37,2026-07-10 00:00:00
"TERRY D HOWELL, MD, PC",4e57efb6-1ae9-4171-ac14-4be29705805c,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Howell MD, Terry",1,0,1,0,1,2026-06-22 00:00:00,2026-06-22 00:00:00,,2025-10-20 00:00:00,245,245,0,0,0,1,0,37,2026-07-10 00:00:00
The family Doc,3b5d6ffd-3a5a-4ccd-b656-e2340f7c8ea5,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Nasrallah MD, Ali I",1,0,1,0,1,2026-03-16 00:00:00,2026-03-16 00:00:00,,2026-02-26 00:00:00,18,18,1,0,0,0,0,37,2026-07-10 00:00:00
Toma & Yaldo Medical Center,d1255d1a-17e8-4765-bfe5-45c6c087c8ed,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Toma MD, Raad",1,0,1,0,1,2026-07-07 00:00:00,2026-07-07 00:00:00,,2026-03-18 00:00:00,111,111,0,0,0,1,0,37,2026-07-10 00:00:00
"TRENTON TOTAL HEALTH CARE CENTER, PC",865f8b49-ce19-4ffd-8643-a755635f6ccc,Coty,Coty Oetjens,Ortho,Ortho Referrer,Deterministically matched,Exact provider name,"Sudhakara MD, Kajoor",1,0,1,0,1,2026-05-29 00:00:00,2026-05-29 00:00:00,,2026-03-27 00:00:00,63,63,0,0,1,0,0,37,2026-07-10 00:00:00
Tri County Neurology,3d10a23f-49c8-4b30-b87f-ae7465e0f588,Jasmine,Jasmine Jones,Neurology,Ortho Referrer,Deterministically matched,Exact provider name,"Siddiqui MD, Saadia",1,0,1,0,1,2026-07-06 00:00:00,2026-07-06 00:00:00,,2026-05-12 00:00:00,55,55,0,1,0,0,0,37,2026-07-10 00:00:00
Trinity Health Orthopedic group-Ypsilanti,5fcd802e-4f68-4425-8e82-e66edfaa3720,Jasmine,Jasmine Jones,Hospitalist;Orthopedic Surgery,Ortho Referrer,Deterministically matched,Exact provider name,"Thomas MD, Jared",1,0,1,0,1,2026-06-12 00:00:00,2026-06-12 00:00:00,,2026-03-10 00:00:00,94,94,0,0,0,1,0,37,2026-07-10 00:00:00
Trinity IHA Orthopedics - Schoolcraft,e5c5b135-ecad-42bb-bbbc-011dd2c4a225,Jasmine,Jasmine Jones,Ortho,Ortho Referrer,Deterministically matched,Unique provider first + last,"Aalderink, Kristopher J",1,0,1,0,1,2026-02-02 00:00:00,2026-02-02 00:00:00,,2025-12-22 00:00:00,42,42,0,1,0,0,0,37,2026-07-10 00:00:00
Troy Internal Medicine,227a3faf-d636-4f07-adbf-db1d49776b27,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Gamalski DO, Joseph",1,0,1,0,1,2026-06-16 00:00:00,2026-06-16 00:00:00,,2026-05-15 00:00:00,32,32,0,1,0,0,0,37,2026-07-10 00:00:00
Troy Pediatrics,bc9cfc71-45e3-42dc-ae93-3a7cdaa01807,Kristen,Kristen Jones,CLOSED,Ortho Referrer,Deterministically matched,Exact company name,Troy Pediatrics,1,0,1,0,1,2026-02-20 00:00:00,2026-02-20 00:00:00,,2025-02-06 00:00:00,379,379,0,0,0,1,0,37,2026-07-10 00:00:00
Troy Primary Care,e160ee5a-9916-41e2-b0c6-e2dae5007a6e,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Kado MD, Hadeel",1,0,1,0,1,2026-06-16 00:00:00,2026-06-16 00:00:00,,2026-06-15 00:00:00,1,1,1,0,0,0,0,37,2026-07-10 00:00:00
UofM Canton Health Center General Medicine,400aeb1f-6186-4eb7-98c8-0544491af836,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Collier MD, Kristin M",1,0,1,0,1,2026-06-03 00:00:00,2026-06-03 00:00:00,,2026-04-30 00:00:00,34,34,0,1,0,0,0,37,2026-07-10 00:00:00
Urgent Care Family,235de96a-2ae5-47a2-bf9a-8379e846684a,Coty,Coty Oetjens,Urgent care;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Mansour MD, Lena",1,0,1,0,1,2026-06-23 00:00:00,2026-06-23 00:00:00,,2026-06-05 00:00:00,18,18,1,0,0,0,0,37,2026-07-10 00:00:00
Vital Medicine,d96ab765-7e8d-447c-b9a1-72f2bcda2283,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Shuker MD, Ala",1,0,1,0,1,2026-06-18 00:00:00,2026-06-18 00:00:00,,2026-05-08 00:00:00,41,41,0,1,0,0,0,37,2026-07-10 00:00:00
Wattles Internal Medicine- use,ea9682a6-09ea-4d32-a71d-171ffffb7847,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Zohoury DO, Mark",1,0,1,0,1,2026-07-07 00:00:00,2026-07-07 00:00:00,,2026-06-05 00:00:00,32,32,0,1,0,0,0,37,2026-07-10 00:00:00
Wayne Primary Care and Walk In,607852d7-cb70-46f8-ac4a-ed6f36b0acf9,Jasmine,Jasmine Jones,Internal Medicine/PCP;Urgent Cares,Ortho Referrer,Deterministically matched,Exact provider name,"Patel MD, Vijay",1,0,1,0,1,2026-01-15 00:00:00,2026-01-15 00:00:00,,2026-01-05 00:00:00,10,10,1,0,0,0,0,37,2026-07-10 00:00:00
Waypointe Internal Medicine,1164469821,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Fox MD, Sara Ann",1,0,1,0,1,2026-03-20 00:00:00,2026-03-20 00:00:00,,2026-02-19 00:00:00,29,29,1,0,0,0,0,37,2026-07-10 00:00:00
WELL BEING PEDIATRICS,e5e6ea92-d9c9-49c0-b1f3-b645b04e1adb,Kristen,Kristen Jones,Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"Forman MD, Seth",1,0,1,0,1,2026-04-24 00:00:00,2026-04-24 00:00:00,,2026-03-20 00:00:00,35,35,0,1,0,0,0,37,2026-07-10 00:00:00
WESTLAND CLINIC - use,ff31198c-887e-4720-94cd-4d7fb158d9b5,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Colman NP, Jodie",1,0,1,0,1,2026-01-05 00:00:00,2026-01-05 00:00:00,,2026-01-05 00:00:00,0,0,1,0,0,0,0,37,2026-07-10 00:00:00
Berry Johnson Health,1134320930,Kristen,Kristen Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Berry MD, Neesha R; Irby Johnson MD, NiJuanna; Irby Johnson, NiJuanna; Irby- Johnson MD, NiJuanna",14,0,0,14,14,2026-01-26 00:00:00,2026-07-07 00:00:00,,2026-05-27 00:00:00,41,44,4,6,4,0,0,24,2026-07-10 00:00:00
Michigan Spine Institute,989f0eea-dc08-4445-9a51-ee7663255964,Coty,Coty Oetjens,Neurosurgery,Other Patient Referrer,Deterministically matched,Exact provider name,"CRUET MD, MIGUELANGELO PEREZ; CRUET, MIGUELANGELO PEREZ; Perez- Cruet MD, Miguelangelo",5,0,0,5,5,2026-01-19 00:00:00,2026-06-08 00:00:00,,2025-10-28 00:00:00,223,160,0,0,1,4,0,24,2026-07-10 00:00:00
Novi Medicine,bd0ee186-9de1-49f1-b6f7-85fc538efd3b,Jasmine,Jasmine Jones,Internal Medicine/PCP,Other Patient Referrer,Deterministically matched,Exact provider name,"Paul MD, Lowell",4,0,0,4,4,2026-01-13 00:00:00,2026-05-26 00:00:00,,2026-04-28 00:00:00,28,8,4,0,0,0,0,24,2026-07-10 00:00:00
